ME_MEAN,TE_MEAN,month,sub-daily
13382.774,279689.82,4,8
13683.174,281309.8,4,9
13741.479,282929.96,4,10
13457.154,284131.08,4,11
13373.875,285027.77,4,12
13612.124,285333.21,4,13
13908.23,285382.01,4,14
14335.388,285321.84,4,15
14751.645,284791.08,4,16
14918.299,283629.73,4,17
15123.827,282240.2,4,18
14819.03,281177.52,4,19
14426.01,280423.46,4,20
14022.3,279736.08,4,21
13666.562,279180.9,4,22
13335.718,278743.72,4,23
16541.777,287020.11,5,daily
16709.943,282835.16,5,0
16351.957,282274.21,5,1
15935.822,281739.08,5,2
15737.96,281424.41,5,3
15489.006,281051.43,5,4
15402.777,281047.55,5,5
15866.486,282166.89,5,6
16656.244,284152.15,5,7
17064.642,286156.17,5,8
16906.581,288234.18,5,9
16481.626,290016.82,5,10
15853.362,291297.94,5,11
15467.615,292406.61,5,12
15168.848,293098.07,5,13
15309.559,293320.18,5,14
15571.287,293286.97,5,15
16250.731,293021.23,5,16
16815.335,292159.77,5,17
17615.921,290129.39,5,18
18505.314,288157.46,5,19
18534.901,286624.11,5,20
18183.756,285526.87,5,21
17789.724,284570.59,5,22
17333.263,283785.49,5,23
18377.105,289481.95,6,daily
18666.79,284999.92,6,0
18335.756,284387.32,6,1
18105.782,284033.81,6,2
17815.815,283668.81,6,3
17611.467,283392.29,6,4
17636.083,283630.01,6,5
18068.907,284986.53,6,6
18863.045,287259.35,6,7
18792.107,289174.59,6,8
18379.285,290920.74,6,9
17853.123,292686.4,6,10
17523.239,293939.22,6,11
17400.47,294922.09,6,12
17549.963,295474.72,6,13
17701.891,295605.83,6,14
17831.386,295514.39,6,15
18082.55,295448.87,6,16
18121.631,294813.3,6,17
18597.133,292854.67,6,18
19470.739,290382.96,6,19
20102.558,288974.57,6,20
19889.78,287803.72,6,21
19480.267,286786.35,6,22
19170.754,285906.46,6,23
20183.581,293987.27,7,daily
20566.204,288380.17,7,0
20204.57,287523.65,7,1
19859.813,286801.72,7,2
19578.14,286196.56,7,3
19312.113,285674.2,7,4
19195.077,285650.64,7,5
19682.837,287274.08,7,6
20778.53,290325.42,7,7
21019.389,292877.96,7,8
20611.026,295254.81,7,9
20299.414,297841.73,7,10
20238.639,299489.94,7,11
19640.645,300782.87,7,12
19142.54,301705.3,7,13
19234.378,302437.77,7,14
19033.153,302570.68,7,15
19218.062,302415.64,7,16
19432.922,301584.33,7,17
19807.347,298996.45,7,18
21400.061,296052,7,19
22133.699,293718.2,7,20
21748.044,292037.34,7,21
21318.818,290636.29,7,22
20950.514,289466.82,7,23
20686.084,293794.82,8,daily
21053.767,289001.45,8,0
20697.654,288180.93,8,1
20348.328,287521.2,8,2
20077.208,286964.9,8,3
19791.651,286484.81,8,4
19578.226,286152.35,8,5
19716.197,286605.46,8,6
20551.835,288711.77,8,7
21304.376,291219.28,8,8
21088.404,294098.02,8,9
20478.827,296869.49,8,10
19854.061,298962.97,8,11
19879.356,300669,8,12
19801.591,301738.94,8,13
19813.842,302245.92,8,14
19833.689,302459.73,8,15
20060.789,302237.99,8,16
20525.856,300788.68,8,17
21451.657,298138.69,8,18
22756.763,295501.9,8,19
22514.139,293605.59,8,20
22118.654,292160.39,8,21
21758.27,290917.31,8,22
21410.87,289839.01,8,23
18214.379,288241.18,9,daily
18012.738,284630.87,9,0
17720.696,284132.32,9,1
17445.761,283703.93,9,2
17201.903,283351.33,9,3
16974.51,282997.88,9,4
16837.261,282712.65,9,5
16663.472,282465.83,9,6
17227.287,283484.38,9,7
18255.756,285604.73,9,8
18785.553,288587.19,9,9
18622.758,290998.45,9,10
18256.69,292821.13,9,11
18130.191,294482.98,9,12
17898.533,295444.15,9,13
17991.338,295809.7,9,14
18118.647,295643.04,9,15
18583.127,294633.01,9,16
19208.967,292496.23,9,17
20005.914,290220.54,9,18
19821.068,288694.77,9,19
19430.36,287536.92,9,20
19042.299,286554.93,9,21
18635.878,285713.11,9,22
18274.398,285068.18,9,23
16442.032,283249.32,10,daily
15669.35,281234.18,10,0
15488.37,281007.36,10,1
15284.87,280747.19,10,2
15081.432,280520.83,10,3
14940.502,280345.83,10,4
14845.452,280168.58,10,5
14746.378,280039.48,10,6
14792.989,280163.84,10,7
15268.11,280994.36,10,8
16283.093,282991.08,10,9
16910.002,284840.04,10,10
17351.869,286380.7,10,11
17469.165,287432.84,10,12
17520.224,288075.5,10,13
17753.812,288198.99,10,14
18088.196,287622.67,10,15
18400.882,286387.85,10,16
18227.386,285084.1,10,17
17781.221,284085.78,10,18
17358.317,283362.12,10,19
16878.898,282808.69,10,20
16455.3,282286.29,10,21
16163.464,281816.5,10,22
15849.489,281388.81,10,23
14299.187,279482.09,11,daily
13370.602,278240.74,11,0
13240.533,278080.96,11,1
13155.938,277958.13,11,2
13077.58,277866.45,11,3
13005.102,277796.7,11,4
12935.553,277722.69,11,5
12890.956,277681.27,11,6
12887.97,277684.95,11,7
13090.728,277903.71,11,8
13717.902,278693.99,11,9
14873.2,280286.2,11,10
15581.99,281521.51,11,11
15997.511,282349.21,11,12
16423.69,282871.68,11,13
16603.11,282740.37,11,14
16551.488,282227.5,11,15
16039.624,281296.21,11,16
15409.706,280520.7,11,17
14919.16,279945.6,11,18
14478.556,279482.38,11,19
14124.934,279108.7,11,20
13818.499,278769.8,11,21
13596.015,278524.17,11,22
13390.152,278296.51,11,23
10202.293,274673.49,12,daily
9788.0924,274024.25,12,0
9696.0309,273891.71,12,1
9617.338,273791.53,12,2
9544.9614,273687.67,12,3
9472.1244,273575.7,12,4
9407.8581,273497.19,12,5
9348.8056,273398.89,12,6
9305.2636,273331.81,12,7
9341.7675,273379.42,12,8
9534.5446,273662.45,12,9
10055.385,274444.79,12,10
10864.24,275772.8,12,11
11371.316,276676.02,12,12
11671.851,277183.64,12,13
11818.957,277324.56,12,14
11621.506,276791.32,12,15
11177.624,275957.12,12,16
10769.483,275347.62,12,17
10490.984,274970.02,12,18
10286.309,274696.23,12,19
10112.9,274460.27,12,20
9964.5541,274258.1,12,21
9846.2999,274085.45,12,22
9746.8347,273955.16,12,23
